City,date,PM2.5,PM10,NO2,SO2
Khadoli,2015-08-06,35.0,104.0,31.0,18.0
Khadoli,2015-08-10,32.0,94.0,26.0,14.0
Khadoli,2015-08-13,35.0,99.0,28.0,16.0
Khadoli,2015-08-20,24.0,82.0,23.0,13.0
Khadoli,2015-08-24,32.0,93.0,29.0,14.0
Khadoli,2015-08-26,22.0,77.0,25.0,13.0
Khadoli,2015-08-28,27.0,81.0,21.0,12.0
Khadoli,2015-09-01,29.0,90.0,26.0,15.0
Khadoli,2015-09-04,27.0,89.0,25.0,14.0
Khadoli,2015-09-08,34.0,100.0,26.0,16.0
Khadoli,2015-09-11,31.0,83.0,23.0,14.0
Khadoli,2015-09-15,27.0,87.0,23.0,13.0
Khadoli,2015-09-18,23.0,75.0,22.0,11.0
Khadoli,2015-09-22,28.0,76.0,23.0,13.0
Khadoli,2015-09-25,26.0,81.0,24.0,14.0
Khadoli,2015-09-28,29.0,87.0,26.0,14.0
Khadoli,2015-09-30,29.0,91.0,24.0,14.0
Khadoli,2015-10-06,35.0,98.0,27.0,16.0
Khadoli,2015-10-09,33.0,95.0,28.0,16.0
Khadoli,2015-10-13,34.0,98.0,28.0,17.0
Khadoli,2015-10-16,32.0,93.0,27.0,17.0
Khadoli,2015-10-20,28.0,88.0,24.0,15.0
Khadoli,2015-10-23,32.0,91.0,26.0,15.0
Khadoli,2015-10-27,35.0,93.0,25.0,15.0
Khadoli,2015-10-30,28.0,85.0,25.0,16.0
Khadoli,2015-11-02,32.0,90.0,26.0,15.0
Khadoli,2015-11-06,35.0,93.0,27.0,16.0
Khadoli,2015-11-09,37.0,95.0,29.0,18.0
Khadoli,2015-11-14,29.0,88.0,31.0,18.0
Khadoli,2015-11-16,25.0,86.0,28.0,16.0
Khadoli,2015-11-20,29.0,92.0,25.0,16.0
Khadoli,2015-11-23,25.0,90.0,25.0,15.0
Khadoli,2015-11-27,23.0,83.0,26.0,16.0
Khadoli,2015-12-01,33.0,88.0,29.0,19.0
Khadoli,2015-12-04,31.0,82.0,28.0,17.0
Khadoli,2015-12-07,36.0,91.0,32.0,21.0
Khadoli,2015-12-11,34.0,90.0,34.0,22.0
Khadoli,2015-12-14,33.0,88.0,30.0,19.0
Khadoli,2015-12-18,32.0,85.0,29.0,17.0
Khadoli,2015-12-21,35.0,90.0,30.0,18.0
Khadoli,2015-12-25,34.0,87.0,29.0,16.0
Khadoli,2015-12-28,32.0,84.0,33.0,20.0
Khadoli,2015-12-30,30.0,81.0,31.0,19.0
Daman,2015-08-06,30.0,94.0,22.0,12.0
Daman,2015-08-10,28.0,90.0,24.0,14.0
Daman,2015-08-13,23.0,73.0,26.0,14.0
Daman,2015-08-17,22.0,81.0,21.0,12.0
Daman,2015-08-20,28.0,76.0,23.0,13.0
Daman,2015-08-24,27.0,89.0,25.0,14.0
Daman,2015-08-26,30.0,93.0,22.0,13.0
Daman,2015-08-28,26.0,87.0,21.0,12.0
Daman,2015-09-01,29.0,87.0,23.0,13.0
Daman,2015-09-04,28.0,89.0,25.0,14.0
Daman,2015-09-08,23.0,72.0,23.0,14.0
Daman,2015-09-11,25.0,81.0,23.0,12.0
Daman,2015-09-15,21.0,77.0,22.0,12.0
Daman,2015-09-18,19.0,65.0,19.0,9.0
Daman,2015-09-22,22.0,74.0,20.0,11.0
Daman,2015-09-25,25.0,78.0,21.0,11.0
Daman,2015-09-28,26.0,79.0,22.0,12.0
Daman,2015-09-30,23.0,76.0,23.0,12.0
Daman,2015-10-06,33.0,92.0,25.0,14.0
Daman,2015-10-09,31.0,90.0,26.0,16.0
Daman,2015-10-13,29.0,86.0,25.0,14.0
Daman,2015-10-16,28.0,82.0,27.0,15.0
Daman,2015-10-20,26.0,78.0,25.0,14.0
Daman,2015-10-23,27.0,85.0,24.0,14.0
Daman,2015-10-27,30.0,86.0,25.0,14.0
Daman,2015-10-30,25.0,81.0,23.0,13.0
Daman,2015-11-02,28.0,85.0,23.0,14.0
Daman,2015-11-06,27.0,83.0,25.0,14.0
Daman,2015-11-09,25.0,79.0,23.0,13.0
Daman,2015-11-14,29.0,85.0,26.0,15.0
Daman,2015-11-16,26.0,80.0,25.0,14.0
Daman,2015-11-20,25.0,79.0,23.0,14.0
Daman,2015-11-23,28.0,81.0,21.0,13.0
Daman,2015-11-27,25.0,76.0,22.0,13.0
Daman,2015-12-01,33.0,88.0,29.0,19.0
Daman,2015-12-04,31.0,82.0,28.0,17.0
Daman,2015-12-07,36.0,91.0,32.0,21.0
Daman,2015-12-11,34.0,90.0,34.0,22.0
Daman,2015-12-14,33.0,88.0,30.0,19.0
Daman,2015-12-18,32.0,85.0,29.0,17.0
Daman,2015-12-21,35.0,90.0,30.0,18.0
Daman,2015-12-25,34.0,87.0,29.0,16.0
Daman,2015-12-28,32.0,84.0,33.0,20.0
Daman,2015-12-30,30.0,81.0,31.0,19.0
Delhi,2015-01-16,78.0,204.0,43.0,4.0
Delhi,2015-01-21,83.0,192.0,39.0,4.0
Delhi,2015-01-27,146.0,159.0,46.0,4.0
Delhi,2015-02-02,62.0,267.0,41.0,4.0
Delhi,2015-02-05,112.0,235.0,50.0,4.0
Delhi,2015-02-10,62.0,241.0,48.0,4.0
Delhi,2015-02-18,63.0,268.0,42.0,4.0
Delhi,2015-02-23,107.0,210.0,40.0,4.0
Delhi,2015-02-26,57.0,210.0,39.0,4.0
Delhi,2015-03-04,44.0,199.0,39.0,4.0
Delhi,2015-03-10,47.0,199.0,38.0,4.0
Delhi,2015-03-13,75.0,187.0,50.0,4.0
Delhi,2015-03-18,47.0,219.0,47.0,4.0
Delhi,2015-03-23,78.0,178.0,47.0,4.0
Delhi,2015-03-26,82.0,174.0,52.0,4.0
Delhi,2015-04-01,78.0,206.0,50.0,4.0
Delhi,2015-04-09,71.0,243.0,44.0,4.0
Delhi,2015-04-17,58.0,228.0,43.0,4.0
Delhi,2015-04-22,77.0,229.0,45.0,4.0
Delhi,2015-04-27,53.0,219.0,38.0,4.0
Delhi,2015-05-01,29.0,209.0,39.0,4.0
Delhi,2015-05-07,89.0,121.0,46.0,4.0
Delhi,2015-05-12,91.0,156.0,44.0,4.0
Delhi,2015-05-15,97.0,132.0,46.0,4.0
Delhi,2015-05-20,61.0,123.0,47.0,4.0
Delhi,2015-05-25,101.0,302.0,47.0,4.0
Delhi,2015-05-28,77.0,329.0,44.0,4.0
Delhi,2015-06-03,77.0,264.0,46.0,4.0
Delhi,2015-06-08,126.0,173.0,46.0,4.0
Delhi,2015-06-11,76.0,149.0,46.0,4.0
Delhi,2015-06-16,55.0,150.0,43.0,4.0
Delhi,2015-06-19,42.0,185.0,47.0,4.0
Delhi,2015-06-24,112.0,155.0,40.0,4.0
Delhi,2015-06-29,100.0,183.0,43.0,4.0
Delhi,2015-07-03,82.0,150.0,43.0,4.0
Delhi,2015-07-08,92.0,276.0,47.0,4.0
Delhi,2015-07-13,85.0,134.0,45.0,4.0
Delhi,2015-07-16,83.0,155.0,40.0,4.0
Delhi,2015-07-21,42.0,148.0,45.0,4.0
Delhi,2015-07-24,62.0,176.0,44.0,4.0
Delhi,2015-07-29,86.0,261.0,42.0,4.0
Delhi,2015-08-04,66.0,164.0,37.0,4.0
Delhi,2015-08-07,52.0,256.0,43.0,4.0
Delhi,2015-08-12,36.0,200.0,44.0,4.0
Delhi,2015-08-17,44.0,151.0,45.0,4.0
Delhi,2015-08-20,32.0,198.0,46.0,4.0
Delhi,2015-08-25,58.0,253.0,41.0,4.0
Delhi,2015-08-28,65.0,197.0,39.0,4.0
Delhi,2015-09-03,87.0,283.0,44.0,4.0
Delhi,2015-09-08,28.0,236.0,44.0,4.0
Delhi,2015-09-11,78.0,224.0,41.0,4.0
Delhi,2015-09-16,110.0,232.0,41.0,4.0
Delhi,2015-09-21,71.0,214.0,40.0,4.0
Delhi,2015-09-24,63.0,241.0,40.0,4.0
Delhi,2015-10-01,51.0,241.0,37.0,4.0
Delhi,2015-10-07,99.0,229.0,45.0,4.0
Delhi,2015-10-12,98.0,395.0,43.0,4.0
Delhi,2015-10-15,76.0,266.0,39.0,4.0
Delhi,2015-10-20,154.0,248.0,42.0,4.0
Delhi,2015-10-26,158.0,276.0,45.0,4.0
Delhi,2015-10-29,111.0,235.0,45.0,4.0
Delhi,2015-11-04,115.0,275.0,46.0,4.0
Delhi,2015-11-10,163.0,343.0,44.0,4.0
Delhi,2015-11-13,56.0,256.0,51.0,4.0
Delhi,2015-11-18,127.0,202.0,43.0,4.0
Delhi,2015-11-23,161.0,284.0,46.0,4.0
Delhi,2015-11-27,122.0,302.0,44.0,4.0
Delhi,2015-01-01,110.0,397.0,67.0,4.0
Delhi,2015-01-06,155.0,250.0,55.0,4.0
Delhi,2015-01-09,163.0,344.0,65.0,4.0
Delhi,2015-01-14,144.0,258.0,61.0,4.0
Delhi,2015-01-19,135.0,351.0,58.0,4.0
Delhi,2015-01-28,101.0,289.0,62.0,4.0
Delhi,2015-02-03,165.0,254.0,61.0,4.0
Delhi,2015-02-06,115.0,233.0,52.0,4.0
Delhi,2015-02-11,170.0,302.0,61.0,4.0
Delhi,2015-02-16,151.0,400.0,63.0,4.0
Delhi,2015-02-19,138.0,306.0,60.0,4.0
Delhi,2015-02-24,154.0,362.0,62.0,4.0
Delhi,2015-03-05,126.0,223.0,49.0,4.0
Delhi,2015-03-11,122.0,175.0,59.0,4.0
Delhi,2015-03-16,64.0,158.0,53.0,4.0
Delhi,2015-03-19,85.0,167.0,62.0,4.0
Delhi,2015-03-24,93.0,210.0,58.0,4.0
Delhi,2015-03-27,71.0,197.0,62.0,4.0
Delhi,2015-04-07,76.0,167.0,59.0,4.0
Delhi,2015-04-10,99.0,151.0,55.0,4.0
Delhi,2015-04-15,90.0,207.0,57.0,4.0
Delhi,2015-04-20,84.0,340.0,54.0,4.0
Delhi,2015-04-23,115.0,300.0,63.0,4.0
Delhi,2015-04-28,38.0,227.0,59.0,4.0
Delhi,2015-05-05,119.0,232.0,56.0,4.0
Delhi,2015-05-08,74.0,239.0,51.0,4.0
Delhi,2015-05-13,45.0,157.0,56.0,4.0
Delhi,2015-05-18,76.0,270.0,48.0,5.0
Delhi,2015-05-21,48.0,204.0,45.0,4.0
Delhi,2015-05-26,49.0,300.0,44.0,4.0
Delhi,2015-06-01,28.0,258.0,50.0,4.0
Delhi,2015-06-04,105.0,220.0,43.0,4.0
Delhi,2015-06-09,56.0,324.0,52.0,4.0
Delhi,2015-06-12,39.0,330.0,45.0,4.0
Delhi,2015-06-17,63.0,303.0,55.0,4.0
Delhi,2015-06-22,76.0,316.0,44.0,4.0
Delhi,2015-06-25,68.0,214.0,42.0,4.0
Delhi,2015-07-01,39.0,246.0,49.0,4.0
Delhi,2015-07-06,18.0,106.0,46.0,4.0
Delhi,2015-07-09,45.0,197.0,51.0,4.0
Delhi,2015-07-14,23.0,223.0,53.0,4.0
Delhi,2015-07-22,32.0,289.0,45.0,4.0
Delhi,2015-07-27,18.0,219.0,45.0,4.0
Delhi,2015-07-30,14.0,218.0,44.0,4.0
Delhi,2015-08-05,51.0,104.0,37.0,4.0
Delhi,2015-09-01,34.0,217.0,57.0,4.0
Delhi,2015-09-04,43.0,211.0,61.0,4.0
Delhi,2015-09-09,39.0,225.0,50.0,4.0
Delhi,2015-09-14,75.0,231.0,50.0,4.0
Delhi,2015-09-17,81.0,184.0,44.0,4.0
Delhi,2015-09-22,19.0,125.0,41.0,4.0
Delhi,2015-10-05,106.0,249.0,58.0,4.0
Delhi,2015-10-08,85.0,250.0,58.0,4.0
Delhi,2015-10-13,72.0,247.0,50.0,4.0
Delhi,2015-10-16,318.0,327.0,60.0,4.0
Delhi,2015-10-21,142.0,289.0,59.0,4.0
Delhi,2015-10-27,161.0,173.0,53.0,4.0
Delhi,2015-11-02,162.0,371.0,53.0,4.0
Delhi,2015-11-04,123.0,445.0,63.0,4.0
Delhi,2015-11-16,148.0,371.0,64.0,4.0
Delhi,2015-11-19,245.0,413.0,69.0,4.0
Delhi,2015-11-24,206.0,389.0,71.0,4.0
Delhi,2015-01-07,151.0,289.0,61.0,4.0
Delhi,2015-01-12,147.0,425.0,61.0,4.0
Delhi,2015-01-15,152.0,266.0,59.0,4.0
Delhi,2015-01-20,139.0,272.0,65.0,4.0
Delhi,2015-01-23,99.0,165.0,59.0,4.0
Delhi,2015-02-09,78.0,276.0,54.0,4.0
Delhi,2015-02-12,172.0,214.0,52.0,4.0
Delhi,2015-02-17,155.0,343.0,56.0,4.0
Delhi,2015-02-20,107.0,287.0,61.0,4.0
Delhi,2015-02-25,138.0,263.0,54.0,4.0
Delhi,2015-03-03,64.0,113.0,59.0,4.0
Delhi,2015-03-09,55.0,234.0,57.0,4.0
Delhi,2015-03-12,69.0,294.0,58.0,4.0
Delhi,2015-03-17,42.0,238.0,60.0,4.0
Delhi,2015-03-20,62.0,155.0,50.0,4.0
Delhi,2015-03-25,98.0,232.0,60.0,4.0
Delhi,2015-03-30,45.0,145.0,63.0,4.0
Delhi,2015-04-08,48.0,166.0,59.0,4.0
Delhi,2015-04-13,64.0,224.0,52.0,4.0
Delhi,2015-04-16,52.0,248.0,52.0,4.0
Delhi,2015-04-21,46.0,334.0,57.0,4.0
Delhi,2015-04-24,94.0,355.0,53.0,4.0
Delhi,2015-05-06,97.0,261.0,53.0,4.0
Delhi,2015-05-11,54.0,265.0,57.0,4.0
Delhi,2015-05-14,95.0,240.0,53.0,4.0
Delhi,2015-05-19,116.0,294.0,50.0,4.0
Delhi,2015-05-22,129.0,192.0,46.0,4.0
Delhi,2015-05-27,81.0,314.0,47.0,4.0
Delhi,2015-06-02,44.0,543.0,49.0,4.0
Delhi,2015-06-05,78.0,250.0,47.0,4.0
Delhi,2015-06-15,93.0,261.0,50.0,4.0
Delhi,2015-06-18,100.0,254.0,48.0,4.0
Delhi,2015-06-23,86.0,166.0,48.0,4.0
Delhi,2015-07-02,45.0,133.0,54.0,4.0
Delhi,2015-07-07,54.0,138.0,43.0,4.0
Delhi,2015-11-03,220.0,314.0,64.0,4.0
Delhi,2015-11-06,265.0,405.0,60.0,4.0
Delhi,2015-11-12,262.0,281.0,59.0,4.0
Delhi,2015-11-17,144.0,170.0,62.0,4.0
Delhi,2015-11-20,143.0,234.0,63.0,4.0
Delhi,2015-11-26,210.0,470.0,67.0,4.0
Delhi,2015-01-07,62.0,143.0,47.0,4.0
Delhi,2015-01-12,61.0,140.0,52.0,4.0
